text,label
असे लोक माझ्या दृष्टीनं घृणास्पद आहेत,HOF
तो खरंच अयोग्य आहे पण लोक त्याचं कौतुक करतात,HOF
त्याच्याशी चर्चा करणं व्यर्थ आहे,HOF
तो चुकला असतानाही माफी मागत नाही,HOF
माझं मत त्याच्याविषयी अजिबात चांगलं नाही,HOF
अशा लोकांनी समाजात स्थान असू नये,HOF
त्याचं वर्तन अत्यंत असह्य आहे,HOF
ती सतत खोटं बोलते,HOF
त्याचं बोलणं म्हणजे वेळेचा अपव्यय आहे,HOF
तो फक्त लोकांना चुकीच्या गोष्टी शिकवतो,HOF
असे विचार समाजासाठी धोकादायक आहेत,HOF
त्याचे इरादे चांगले वाटत नाहीत,HOF
ती स्वतःला खूप शहाणी समजते पण आहे नाही,HOF
त्यांचं वर्तन लोकांना दुःखी करतं,HOF
त्याचा दृष्टिकोन संकुचित आहे,HOF
तो सतत इतरांवर दोष टाकतो,HOF
तिला दुसऱ्यांचा अपमान करण्यात आनंद मिळतो,HOF
असे लोक समाजात फूट पाडतात,HOF
त्याचं विचार ऐकून चीड येते,HOF
"तो कुणाचंही ऐकत नाही, फक्त आपलं खरं करत राहतो",HOF
ती लोकांशी असभ्य बोलते,HOF
त्याने समाजात फक्त तेढ निर्माण केली,HOF
त्याच्या कृती समाजविघातक आहेत,HOF
असे लोक फक्त द्वेष पसरवतात,HOF
त्याला कोणाचाही आदर नाही,HOF
ती इतरांना कमी लेखते,HOF
तो नेहमी वाद निर्माण करतो,HOF
त्याचं बोलणं द्वेषपूर्ण असतं,HOF
अशा लोकांमुळे समाजात असंतोष पसरतो,HOF
त्याचं वर्तन नेहमीच उपेक्षेचं असतं,HOF
तो लोकांना चिथावतो,HOF
ती सतत द्वेषमूलक पोस्ट करते,HOF
तो आपल्या जातीचं श्रेष्ठत्व मांडतो,HOF
अशा लोकांनी समाजात काम करायला नको,HOF
तो इतर धर्मांविषयी वाईट बोलतो,HOF
ती केवळ जातीवरून द्वेष करते,HOF
तो एक संकुचित विचारांचा नेता आहे,HOF
असे नेते समाजाचं नुकसान करतात,HOF
त्याच्या भाषणातून फक्त विष पसरतं,HOF
ती इतर समुदायांवर आरोप करते,HOF
त्याचं शिक्षण असून उपयोग नाही,HOF
तो नेहमीच इतरांवर टीका करतो,HOF
ती लोकांच्या यशावर मत्सर करते,HOF
तो दुसऱ्यांचे यश सहन करू शकत नाही,HOF
अशा लोकांनी समाजाला काहीही दिलं नाही,HOF
ती खोटं पसरवते आणि लोक भडकवते,HOF
तो इतिहासाची चुकीची माहिती पसरवतो,HOF
त्याचं वर्तन समाजासाठी घातक आहे,HOF
"तो केवळ टीका करतो, उपाय नाही सांगत",HOF
त्याच्या विचारसरणीत सहिष्णुतेचा अभाव आहे,HOF
